"name","name_simbadable","raj2000","decj2000"
"SDSS J140231.75+014830.3","2MASS J14023175+0148301",210.6324,1.8084
"SDSS J140441.68+023550.1","2MASS J14044167+0235501",211.1737,2.5973
"2MASS J14140586+0107102","2MASS J14140586+0107102",213.5244,1.1195
"ULAS J141520.66+041647.1","ULAS J141520.66+041647.1",213.8362,4.2799
"ULAS J141806.71+000035.5","SDSS J141806.70+000035.5",214.5279,0.0098
"ULAS J142007.60+021818.3","ULAS J142007.60+021818.3",215.032,2.3055
"ULAS J142145.63+013619.0","ULAS J142145.63+013619.0",215.4394,1.6045
"ULAS J142300.38+041026.4","BRLT 240",215.7518,4.1742
"BD +01 2920B","ULAS J142320.79+011638.2",215.8363,1.2787
"ULAS J142536.35+045132.3","ULAS J142536.35+045132.3",216.4013,4.8594
"ULAS J142718.33+011206.2","BRLT 243",216.8262,1.2018
"SDSS J143055.90+001352.1","2MASS J14305589+0013523",217.7329,0.2312
"ULAS J143623.86+014257.6","BRLT 250",219.0993,1.7159
"SDSS J143904.71+020526.7","2MASS J14390470+0205268",219.7696,2.0907
"SDSS J143933.44+031759.2","2MASS J14393343+0317591",219.8893,3.2997
