"name","name_simbadable","raj2000","decj2000"
"2MASS J16002647-2456424","SIPS J1600-2456",240.1103,-24.9453
"UScoCTIO 109","UScoCTIO 109",240.3298,-23.111
"UScoCTIO 66","UScoCTIO  66",240.4565,-23.8523
"HIP 78530B","HD 143567B",240.4819,-21.9814
"UScoCTIO 55","UScoCTIO  45",240.6906,-23.0808
"USco J160603.75-221930.0","2MASS J16060374-2219298",241.5157,-22.325
"USco J160606.29-233513.3","2MASS J16060629-2335133",241.5262,-23.587
"USco J160714.79-232101.2","2MASS J16071478-2321011",241.8116,-23.3504
"USco J160723.82-221102.0","2MASS J16072382-2211018",241.8493,-22.1839
"USco J160727.82-223904.0","2MASS J16072782-2239040",241.8659,-22.651
"USco J160737.99-224247.0","2MASS J16073799-2242468",241.9083,-22.7131
"USco J160818.43-223225.0","2MASS J16081843-2232248",242.0768,-22.5403
"USco J160828.47-231510.4","2MASS J16082847-2315103",242.1187,-23.2529
"CWISEP J160835.01-244244.7","CWISEP J160835.01-244244.7",242.1445,-24.7122
"USco J160843.44-224516.0","UGCS J160843.43-224516.0",242.1809,-22.7547
"[SCH2006] J16091837-20073523","2MASS J16091837-2007349",242.3265,-20.1264
"USco J160918.69-222923.7","[LHJ2007] J160918.69-222923.7",242.328,-22.49
"1RXS J160929.1-210524B","RX J1609.5-2105B",242.3766,-21.0825
"UGCS J160956.34-222245.6","UGCS J160956.34-222245.6",242.4848,-22.3792
"USco J161227.64-215640.8","2MASS J16122764-2156407",243.1152,-21.9447
"USco J161228.95-215936.1","2MASS J16122895-2159358",243.1206,-21.9933
"USco J161302.32-212428.4","2MASS J16130232-2124283",243.2597,-21.4079
"USco J161441.68-235105.9","2MASS J16144169-2351058",243.6737,-23.8516
"GSC 06214-00210B","NAME GSC 06214-00210B",245.4778,-20.7198
"Oph J1622-2405A","NAME Oph 11A",245.605,-24.0871
"Oph J1622-2405B","NAME Oph 11B",245.6051,-24.0876
"Oph J1623-2402","2MASS J16233609-2402209",245.9005,-24.0391
"SR12 C","NAME SR 12C",246.8323,-24.697
"CFHTWIR-Oph 98 AB","CFHTWIR-Oph 98",246.9343,-23.9812
"ROXs 42Bb","NAME ROXs 42Bb",247.8122,-24.5455
