"name","name_simbadable","raj2000","decj2000"
"ULAS J080055.05+193838.1","BRLT 67",120.2293,19.644
"ULAS J080441.05+182611.6","SDSS J080441.06+182611.7",121.1714,18.4368
"SDSS J081110.35+185527.9","2MASS J08111040+1855280",122.7932,18.9245
"SDSS J081752.63+194727.6","2MASS J08175266+1947279",124.4694,19.791
"SDSS J081757.49+182405.0","2MASS J08175749+1824048",124.4895,18.4014
"2MASS J08194602+1658539","2MASS J08194602+1658539",124.9417,16.9816
"SDSS J082346.99+154947.4","2MASS J08234700+1549475",125.9457,15.8299
"SDSS J082502.70+172249.6","2MASS J08250271+1722501",126.2613,17.3806
"SDSS J082642.65+193922.0","2MASS J08264262+1939224",126.6776,19.6562
"SDSS J083122.08+153850.3","2MASS J08312221+1538511",127.8424,15.6474
"SDSS J083506.16+195304.4","2MASS J08350622+1953050",128.7759,19.8847
"SDSS J083652.36+183544.9","2MASS J08365239+1835455",129.2183,18.5959
"SDSS J083732.80+161737.5","2MASS J08373282+1617380",129.3867,16.2939
"SDSS J083759.75+195727.7","2MASS J08375977+1957279",129.499,19.9577
"2MASS J08381155+1511155","2MASS J08381155+1511155",129.548,15.1875
