"name","name_simbadable","raj2000","decj2000"
"SDSS J124510.86-013230.9","2MASS J12451086-0132312",191.2952,-1.5419
"SDSSp J125453.90-012247.4","2MASS J12545393-0122474",193.7246,-1.3798
"ULAS J125635.91-001944.9","2MASS J12563590-0019450",194.1496,-0.3292
"SDSS J125637.13-022452.4","2MASS J12563716-0224522",194.1547,-2.4145
"SDSSp J125737.26-011336.1","2MASS J12573726-0113360",194.4053,-1.2268
"WISE J130141.62-030212.9","WISE J130141.62-030212.9",195.4228,-3.0357
"2MASS J13042886-0032410","2MASS J13042886-0032410",196.1203,-0.5448
"CWISE J130841.31-032157.7","CWISE J130841.31-032157.7",197.1741,-3.3669
"ULAS J131106.96-013742.3","BRLT 198",197.7789,-1.6284
"SDSSp J131415.52-000848.1","2MASS J13141551-0008480",198.5647,-0.1467
