"name","name_simbadable","raj2000","decj2000"
"2MASS J16005759+3021571","2MASS J16005759+3021571",240.2399,30.3659
"HIP 78923B","2MASS J16063894+3406172",241.6621,34.1049
"SDSS J160743.08+345947.4","2MASS J16074308+3459470",241.9295,34.9964
"2MASS J16123860+3126489","2MASS J16123860+3126489",243.1609,31.4469
"ULAS J161938.12+300756.4","ULAS J161938.12+300756.4",244.9085,30.1323
"SDSS J162051.17+323732.1","2MASS J16205116+3237322",245.213,32.6256
"SDSS J162559.01+334705.5","2MASS J16255899+3347058",246.4958,33.7849
"LSPM J1627+3328B","2MASS J16270165+3328217",246.7568,33.4726
"WISEPA J162725.64+325525.5","2MASS J16272573+3255288",246.8572,32.9245
"SDSS J163817.31+321144.0","2MASS J16381734+3211444",249.5722,32.1956
"ULAS J163931.52+323212.7","SDSS J163931.44+323213.3",249.8808,32.5371
