"name","name_simbadable","raj2000","decj2000"
"ULAS J112043.11+090429.8","BRLT 139",170.1799,9.075
"SDSS J112505.01+055642.3","2MASS J11250502+0556424",171.271,5.9451
"SIMP J11384458+0748213","SIMP J1138445+074821",174.6858,7.8059
"2MASS J11391107+0841121","2MASS J11391107+0841121",174.7961,8.6867
"ULAS J114105.18+091647.6","BRLT 144",175.2717,9.2798
"ULAS J114340.47+061358.9","SDSS J114340.50+061358.8",175.9189,6.233
"ULAS J114418.08+091025.1","BRLT 145",176.0756,9.1735
"SDSS J115013.17+052012.3","2MASS J11501322+0520124",177.555,5.3369
"ULAS J115038.79+094942.9","ULAS J115038.79+094942.8",177.6618,9.8286
"LHS 2471","LP  553-59",178.4695,6.999
"SDSS J115553.86+055957.5","2MASS J11555389+0559577",178.9747,5.9994
"SDSS J115700.50+061105.2","SDSS J115700.50+061105.2",179.252,6.1847
"ULAS J115759.04+092200.7","BRLT 147",179.4962,9.3668
