"name","name_simbadable","raj2000","decj2000"
"ULAS J020047.44+133755.1","ULAS J020047.44+133755.1",30.1984,13.6315
"2MASSW J0205034+125142","2MASSW J0205034+125142",31.2645,12.8617
"ULAS J020529.62+142114.0","ULAS J020529.62+142114.0",31.3739,14.3538
"ULAS J020533.75+123824.1","2MASS J02053376+1238242",31.3906,12.64
"SDSS J020735.60+135556.3","SDSS J020735.60+135556.3",31.8983,13.9323
"ULAS J020944.30+133924.7","ULAS J020944.30+133924.7",32.4331,13.6572
"SDSS J021128.25+141003.8","2MASS J02112827+1410039",32.8677,14.1677
