"name","name_simbadable","raj2000","decj2000"
"ULAS J132048.12+102910.6","ULAS J132048.12+102910.6",200.2004,10.4861
"ULAS J132605.18+120009.9","ULAS J132605.18+120009.9",201.5212,12.0027
"ULAS J132720.56+101138.5","BRLT 210",201.8355,10.1942
"SDSS J133010.03+141113.3","2MASS J13301009+1411132",202.5419,14.1871
"ULAS J133553.45+113005.2","ULAS J133553.45+113005.2",203.9731,11.502
"SDSS J134203.11+134022.2","2MASS J13420311+1340222",205.5129,13.6729
"SDSS J134329.01+131226.2","2MASS J13432911+1312267",205.8712,13.2074
"ULAS J134436.84+110957.5","BRLT 219",206.1537,11.166
"SDSS J135712.40+142839.8","2MASS J13571237+1428398",209.3016,14.4778
"2MASS J13580384+1458204","2MASS J13580384+1458204",209.516,14.9723
