"name","name_simbadable","raj2000","decj2000"
"SDSS J040100.96-060933.0","SDSS J040100.95-060933.0",60.2538,-6.1594
"SDSS J040921.85-060518.6","2MASS J04092184-0605185",62.341,-6.0885
"Gaia J041246.85-073416.8","2MASS J04124640-0734097",63.1934,-7.5695
"2MASSI J0415195-093506","2MASSI J0415195-093506",63.8324,-9.5851
"2MASS J04173745-0800007","2MASSI J0417374-080000",64.4062,-8.0002
"2MASS J04232191-0803051",,65.8413,-8.0514
"2MASS J04305157-0849007","2MASS J04305157-0849007",67.7149,-8.8169
"SIMP J04323767-0639501","SIMP J0432376-063950",68.157,-6.664
