"name","name_simbadable","raj2000","decj2000"
"2MASS J15230657-2347526","2MASS J15230657-2347526",230.7773,-23.798
"WISEPA J154151.66-225025.2","WISE J154151.65-225024.9",235.4679,-22.8404
"USco J154722.82-213914.3","2MASS J15472282-2139141",236.8451,-21.6539
"DENIS-P J154747.2-242349","DENIS J154747.2-242349",236.9466,-24.3971
"PSO J237.1471-23.1489","2MASS J15483530-2308557",237.1471,-23.1489
"USco J155150.2-213457","UGCS J155150.24-213457.2",237.9592,-21.5827
"PSO J239.7016-23.2664","2MASS J15584839-2315589",239.7016,-23.2664
