"name","name_simbadable","raj2000","decj2000"
"ULAS J092432.13+005835.6","BRLT 97",141.134,0.9766
"ULAS J092608.93+020807.3","ULAS J092608.93+020807.3",141.5362,2.1348
"ULAS J092608.82+040239.7","ULAS J092608.82+040239.7",141.5368,4.0456
"WISEPC J092906.77+040957.9","ULAS J092906.75+040957.7",142.2769,4.1678
"SDSS J093109.56+032732.5","2MASS J09310955+0327331",142.7897,3.4592
"SDSS J093242.84+042215.2","2MASS J09324283+0422153",143.1785,4.3709
"ULAS J093512.60+012347.4","BRLT 103",143.8023,1.3966
"PSO J143.8+001.7","2MASS J09353202+0147519",143.8835,1.7977
"SDSS J093600.12+043147.9","2MASS J09360011+0431480",144.0005,4.53
"SDSS J093858.88+044343.9","2MASS J09385888+0443438",144.7453,4.7288
"ULAS J093951.04+001653.6","ULAS J093951.04+001653.6",144.9622,0.2819
"ULAS J094006.54+021051.1","BRLT 106",145.0271,2.1809
"ULAS J094420.32+024422.7","BRLT 111",146.0846,2.7396
"2MASS J09474477+0224327","2MASS J09474477+0224327",146.9366,2.4091
"ULAS J095047.28+011734.3","WISE J095047.32+011733.3",147.6964,1.2937
"CFBDS J095914.80+023655.2","CFBDS J095914+023655",149.811,2.6156
