"name","name_simbadable","raj2000","decj2000"
"LHS 2034","V* AZ Cnc",130.1237,18.4024
"SDSS J085116.20+181730.0","2MASS J08511627+1817302",132.8178,18.2917
"G 9-38A","G   9-38A",134.5628,19.7634
"G 9-38B","G   9-38B",134.5631,19.7627
"SDSS J085858.92+180445.7","2MASS J08585891+1804463",134.7455,18.0795
"CWISEP J085908.26+152527.1","CWISEP J085908.26+152527.1",134.785,15.4251
"SDSS J090031.75+190714.5","SDSS J090031.75+190714.5",135.1322,19.1207
"CFBDS J090139.82+174051.3","CFBDS J090139+174051",135.4161,17.6815
"PSO J135.7840+16.9932","2MASS J09030814+1659358",135.784,16.9933
"CFBDS J090449.60+165347.0","CFBDS J090449+165347",136.2065,16.8968
"SDSS J090531.00+195433.0","2MASS J09053102+1954334",136.3792,19.9092
"SDSS J090948.13+194043.9","2MASS J09094822+1940428",137.4509,19.6786
"2MASSW J0913032+184150","2MASS J09130320+1841501",138.2634,18.6972
