"name","name_simbadable","raj2000","decj2000"
"WISEA J112158.76+004412.3","WISEA J112158.76+004412.3",170.496,0.7372
"SIMP J11220855+0343193","2MASS J11220855+0343193",170.5357,3.7221
"SDSS J112615.25+012048.2","2MASS J11261528+0120481",171.5638,1.3467
"LSPM J1128+0141","LSPM J1128+0141",172.0292,1.6918
"2MASS J11345493+0022541","LSPM J1134+0022",173.7289,0.3817
"SDSS J114804.26+025405.7","2MASS J11480423+0254057",177.0178,2.9016
"SDSS J114805.02+020350.9","2MASS J11480502+0203509",177.0209,2.0642
"ULAS J115229.68+035927.3","ULAS J115229.67+035927.2",178.1247,3.9911
"2MASS J11543399+0135545","DENIS J1154.5+0135",178.6417,1.5985
"ULAS J115508.39+044502.3","ULAS J115508.39+044502.3",178.7839,4.7519
"2MASS J11582077+0435014","2MASS J11582077+0435014",179.5864,4.584
"ULAS J115826.62+044746.8","2MASS J11582664+0447466",179.6109,4.7964
"DENIS-P J1159+0057","DENIS J115938.4+005727",179.9104,0.9574
