"name","name_simbadable","raj2000","decj2000"
"CFHT-IC 348-1","UGCS J034322.51+321817.4",55.8438,32.305
"CFHT-IC 348-2","2MASS J03432569+3221542",55.8572,32.365
"CFHT-IC 348-3","[AMB2013] CFHT-IC 348  3",55.8808,32.0055
"CFHT-IC 348-4","UGCS J034342.41+320932.6",55.9269,32.1592
"CFHT-IC 348-5","UGCS J034345.35+315525.8",55.939,31.9239
"PSO J055.9+030.6","2MASS J03435733+3037194",55.9889,30.6221
"CFHT-IC 348-6","UGCS J034407.26+321433.1",56.0302,32.2426
"CFHT-IC 348-7","2MASS J03441150+3218094",56.048,32.3027
"CFHT-IC 348-8","UGCS J034415.47+321923.0",56.0644,32.3228
"CFHT-IC 348-12","UGCS J034418.85+321932.8",56.0786,32.3258
"CFHT-IC 348-11","UGCS J034418.75+321132.0",56.0789,32.1925
"CFHT-IC 348-14","UGCS J034434.54+320213.7",56.1442,32.0376
"CFHT-IC 348-15","UGCS J034439.28+321442.9",56.1637,32.2453
"CFHT-IC 348-18","UGCS J034449.33+320949.4",56.2055,32.1637
"CFHT-IC 348-20","UGCS J034450.52+315657.3",56.2105,31.9492
"CFHT-IC 348-22","Cl* IC  348    LRL    1379",56.2167,31.9892
"CFHT-IC 348-23","[PSZ2003] J034457.3+320850",56.2387,32.1475
"CFHT-IC 348-26","2MASS J03450644+3159394",56.2769,31.9943
"CFHT-IC 348-27","UGCS J034508.86+321546.8",56.2869,32.263
"CFHT-IC 348-29","Cl* IC  348    LRL   22865",56.3238,32.132
"CFHT-IC 348-31","UGCS J034531.44+321228.8",56.381,32.208
"PSO J058.2106+32.8800",,58.2105,32.8803
