"name","name_simbadable","raj2000","decj2000"
"SDSS J160510.15+042152.1","2MASS J16051015+0421521",241.2923,4.3645
"WISEA J160516.79+002139.0","WISEA J160516.79+002139.0",241.3208,0.3614
"SDSS J161106.31+002547.0","2MASS J16110632+0025469",242.7763,0.4297
"PSO J242.9129+02.4856","PSO J242.9129+02.4856",242.9127,2.4854
"SDSS J161420.50+004643.6","2MASS J16142048+0046434",243.5853,0.7787
"WISEA J161519.28+033601.8","WISEA J161519.28+033601.8",243.831,3.6011
"SIMP J1619275+031350","SIMP J1619275+031350",244.8646,3.2308
"SDSS J161928.31+005011.9","2MASS J16192830+0050118",244.868,0.8366
"SDSSp J162414.37+002915.6","2MASS J16241436+0029158",246.0597,0.4877
"PSO J247.3273+03.5932","2MASS J16291840+0335371",247.3267,3.5936
"SDSS J163050.01+005101.3","2MASS J16304999+0051010",247.7083,0.8504
"WISE J163236.47+032927.3","2MASS J16323642+0329269",248.1518,3.4908
"SDSS J163355.23+010027.0","2MASS J16335523+0100271",248.4802,1.0075
"SDSS J163655.90+002526.4","SDSS J163655.90+002526.4",249.233,0.4239
