"name","name_simbadable","raj2000","decj2000"
"SDSS J004058.93+152845.0","2MASS J00405893+1528452",10.2456,15.4792
"2MASSW J0045214+163445","2MASS J00452143+1634446",11.3392,16.5791
"ULAS J004757.41+154641.4","ULAS J004757.40+154641.4",11.989,15.7783
"SDSS J005935.48+150905.0","2MASS J00593543+1509050",14.8978,15.1515
"SIMP J01031050+1940463","SIMP J0103105+194046",15.7937,19.6792
"2MASSI J0103320+193536","2MASSI J0103320+193536",15.8837,19.5935
"ULAS2MASS J0106+1518","2MASS J01063737+1518556",16.6555,15.3153
"WISEA J011049.18+192000.1","WISEA J011049.18+192000.1",17.7035,19.3333
"GU Psc b","V* GU Psc B",18.152,17.0751
"ULAS J011249.67+153657.6","BRLT 22",18.2067,15.6162
"2MASS J01183399+1810542","2MASS J01183399+1810542",19.6416,18.1817
