"name","name_simbadable","raj2000","decj2000"
"CWISE J052306.42-015355.4","CWISE J052306.42-015355.4",80.7745,-1.8986
"S Ori 66","[BZR99] S Ori 66",84.3531,-2.5313
"S Ori J053804.65-021352.5","[BMZ2001] S Ori J053804.6-021352",84.5194,-2.2313
"S Ori 70","[BZR99] S Ori 70",84.5421,-2.6072
"S Ori 67","[BZR99] S Ori 67",84.5526,-2.3588
"S Ori 73","[BMZ2001] S Ori J053814.5-024512",84.5596,-2.7532
"S Ori 47","[BZR99] S Ori 47",84.5609,-2.6709
"S Ori 65","[BZR99] S Ori 65",84.6082,-2.3852
"S Ori 68","[BZR99] S Ori 68",84.662,-2.4671
"S Ori 61","[BZR99] S Ori 61",84.7187,-2.4811
"S Ori 71","[CH2010] CTIO J05390031-0237059",84.7513,-2.6183
"S Ori 56","[BZR99] S Ori 56",84.7532,-2.3615
"S Ori 58","[BZR99] S Ori 58",84.7655,-2.4268
"S Ori 60","[BZR99] S Ori 60",84.9063,-2.5116
"S Ori 62","[BZR99] S Ori 62",84.9247,-2.5085
"SDSSp J053951.99-005902.0","SIPS J0539-0059",84.9667,-0.9837
"S Ori 52","UGCS J054009.31-022632.6",85.0388,-2.4424
"PSO J088.5709-00.1430","2MASS J05541699-0008334",88.5709,-0.1426
