"name","name_simbadable","raj2000","decj2000"
"2MASP J1524248+292535","LSPM J1524+2925",231.1032,29.4254
"SDSS J152621.06+280806.9","2MASS J15262104+2808074",231.5877,28.1354
"SDSS J153119.91+262835.2","SDSS J153119.91+262835.2",232.833,26.4765
"SDSS J153223.34+261118.8","2MASS J15322338+2611189",233.0973,26.1886
"HIP 76456B","2MASS J15365618+2959314",234.2342,29.9921
"SDSS J154050.42+260244.0","2MASS J15405043+2602444",235.2101,26.0457
"SDSS J154628.38+253634.3","2MASS J15462849+2536338",236.6187,25.6094
"SDSS J154854.89+281404.7","2MASS J15485487+2814046",237.2287,28.2346
"ULAS J154914.45+262145.6","ULAS J154914.45+262145.6",237.3106,26.3619
"2MASSW J1552591+294849","2MASS J15525906+2948485",238.2461,29.8135
"2MASS J15543602+2724487","2MASS J15543602+2724487",238.6501,27.4136
