"name","name_simbadable","raj2000","decj2000"
"ULAS J020002.96+065808.2","BRLT 42",30.0123,6.969
"ULAS J020013.18+090835.2","SDSS J020013.35+090837.7",30.0555,9.1436
"ULAS J020543.26+084340.2","ULAS J020543.26+084340.2",31.4298,8.7282
"ULAS J020604.27+054958.8","BRLT 46",31.5175,5.8332
"CWISE J021705.51+075849.9","WISE J021705.44+075850.9",34.2727,7.9805
"2MASS J02192196+0506306","2MASS J02192196+0506306",34.8415,5.1085
"ULAS J022603.18+070231.4","ULAS J022603.18+070231.4",36.5134,7.0415
"PSO J036.9069+08.5025",,36.9059,8.5029
"ULAS J023144.49+063602.2","ULAS J023144.49+063602.2",37.9361,6.6014
"Gl 105 C","Gl 105 C",39.0194,6.8874
