"name","name_simbadable","raj2000","decj2000"
"SIMP J01205253+1518277","2MASS J01205253+1518277",20.2191,15.3076
"SDSS J012236.30+153339.4","2MASS J01223630+1533396",20.6513,15.561
"ULAS J012735.66+153905.9","ULAS J012735.66+153905.9",21.898,15.6526
"ULAS J012947.35+151143.1","ULAS J012947.35+151143.1",22.4475,15.1958
"WISE J013525.64+171503.4","WISE J013525.64+171503.4",23.858,17.2514
"ULAS J013950.51+150307.6","ULAS J013950.51+150307.6",24.9607,15.0522
"2MASSW J0141032+180450","2MASS J01410321+1804502",25.2635,18.0806
