"name","name_simbadable","raj2000","decj2000"
"SDSS J104426.79+272033.2","SDSS J104426.79+272033.1",161.1117,27.3425
"SDSS J104928.24+253723.2","2MASS J10492824+2537231",162.3677,25.6231
"2MASS J10551343+2504028","2MASS J10551343+2504028",163.8058,25.0674
"WISEA J105917.38+285729.3","WISEA J105917.38+285729.3",164.8249,28.9576
"SDSS J110008.19+295516.1","2MASS J11000830+2955159",165.0345,29.9211
"2MASS J11061197+2754225","2MASS J11061197+2754225",166.5497,27.9061
"SDSS J111143.85+295823.8","2MASS J11114383+2958237",167.9327,29.9733
