"name","name_simbadable","raj2000","decj2000"
"CWISE J040136.03+144454.6","CWISE J040136.03+144454.6",60.3997,14.7485
"PSO J062.3459+11.1794","2MASS J04092315+1110472",62.3465,11.1797
"Hya03","2MASS J04102390+1459104",62.5996,14.9862
"WISEPA J041054.48+141131.6","WISE J041054.48+141131.1",62.7269,14.1924
"WISEA J041232.77+104408.3","2MASS J04123269+1044078",63.1362,10.7355
"Hya10","2MASS J04173384+1430156",64.3911,14.5043
"SIMP J04182001+1121129","SIMP J0418200+112112",64.5834,11.3536
"Hya06","2MASS J04220512+1358474",65.5214,13.9798
"SIMP J04223302+1033189","SIMP J0422330+103318",65.6376,10.5552
"SIMP J04232040+1212118","SIMP J0423204+121211",65.8351,12.2032
"LP 475-855","LP  475-855",67.262,13.6329
"CWISE J043018.70+105857.1","CWISE J043018.70+105857.1",67.5775,10.9824
"SIMP J04302219+1035438","SIMP J0430221+103543",67.5924,10.5954
"CFHT-Hy-20","Cl* Melotte   25   CFHT      20",67.6613,13.1658
"CWISE J043309.36+100902.3","WISE J043309.27+100903.9",68.2885,10.152
"Cl* Melotte 25 DKJ 14784e","2MASS J04332279+1223507",68.345,12.3974
"Hya12","2MASS J04354290+1323449",68.9288,13.3959
"2MASS J04362767+1151243","2MASS J04362767+1151243",69.1153,11.8567
