"name","name_simbadable","raj2000","decj2000"
"SDSS J164438.14+284614.5","2MASS J16443814+2846147",251.159,28.7707
"SDSS J164439.66+260013.3","2MASS J16443963+2600128",251.1652,26.0036
"SDSS J164540.16+290744.4","2MASS J16454017+2907441",251.4174,29.129
"SDSS J165103.66+292248.0","SDSS J165103.66+292248.0",252.7652,29.38
"2MASSI J1656188+283506","2MASSI J1656188+283506",254.0785,28.5849
"SDSS J170310.64+252521.4","2MASS J17031059+2525215",255.7943,25.4226
"2MASS J17081563+2557474","2MASS J17081563+2557474",257.0651,25.9632
"SIMP J17084651+260644","2MASS J17084651+2606449",257.1938,26.1125
"SDSS J171319.23+292816.1","2MASS J17131922+2928162",258.3301,29.4711
"2MASS J17164260+2945536","2MASS J17164260+2945536",259.1775,29.7649
"SDSS J171726.42+255740.8","SDSS J171726.42+255740.8",259.3601,25.9612
"SDSS J171917.83+293530.2","2MASS J17191783+2935300",259.8243,29.5917
