"name","name_simbadable","raj2000","decj2000"
"ULAS J232035.28+144829.8","SDSS J232035.10+144828.9",350.1464,14.8081
"ULAS J232123.79+135454.9","SDSS J232123.76+135458.8",350.3488,13.9166
"SIMP J23225888+1300322","2MASS J23225888+1300322",350.7455,13.0087
"ULAS J232802.03+134544.8","ULAS J232802.03+134544.8",352.0077,13.7622
"ULAS J233002.13+140329.9","BRLT 338",352.5089,14.0584
"SIMP J23302193+1006003","2MASS J23302193+1006003",352.5915,10.1002
"2MASS J23322678+1234530","2MASS J23322678+1234530",353.1118,12.5814
"PSO J353.6355+13.2209","2MASS J23343249+1313153",353.6354,13.2209
"2MASSI J2339101+135230","2MASSI J2339101+135230",354.7926,13.8749
"WISEA J234441.89+131243.3","WISEA J234441.89+131243.3",356.1751,13.2141
"WISEPC J234446.25+103415.8","WISEP J234446.25+103415.8",356.1897,10.5713
"2MASS J23464599+1129094","LSPM J2346+1129",356.6918,11.486
"2MASS J23494899+1224386","LP  523-55",357.4542,12.4107
"ULAS J235204.62+124444.9","ULAS J235204.62+124444.9",358.0191,12.7463
"WISE J235716.49+122741.8","2MASS J23571646+1227475",359.3187,12.4629
