"name","name_simbadable","raj2000","decj2000"
"ULAS J084410.65-015944.2","BRLT 75",131.0444,-1.9955
"WISEA J085039.11-022154.3","WISEA J085039.11-022154.3",132.6641,-2.3647
"LHS 2065","LP  666-9",133.4007,-3.4923
"PSO J133.8016-02.5658","2MASS J08551251-0233579",133.8021,-2.566
"ULAS J085540.39-021923.9","BRLT 83",133.9182,-2.3233
"2MASS J08572787-0332396","2MASS J08572787-0332396",134.3661,-3.5443
"ULAS J090116.23-030635.0","ULAS J090116.23-030635.0",135.3175,-3.1091
"ULAS J090710.26-022145.7","BRLT 88",136.7927,-2.3626
"ULAS J091309.55-003136.9","ULAS J091309.55-003136.9",138.2899,-0.5249
"VIK  J091641.18-010911.5","VIKING J091641.18-010911.5",139.1717,-1.1527
