"name","name_simbadable","raj2000","decj2000"
"SDSS J120020.66+340615.4","SDSS J120020.66+340615.4",180.0864,34.1043
"2MASSI J1204303+321259","2MASS J12043036+3212595",181.1265,32.2165
"HIP 58918B","LSPM J1204+3437W",181.2183,34.623
"WISEA J120751.17+302808.9","WISEA J120751.17+302808.9",181.9628,30.4698
"SDSS J120906.49+323327.5","2MASS J12090655+3233264",182.2772,32.5574
"SDSS J121409.75+332356.0","2MASS J12140975+3323561",183.5407,33.3989
"SDSS J121659.17+300306.3","2MASS J12165918+3003054",184.2465,30.0516
"SDSS J121758.67+340004.5","2MASS J12175870+3400045",184.4946,34.0013
"SDSS J121951.45+312849.4","2MASS J12195156+3128497",184.9647,31.4804
"SDSS J123034.66+324534.5","2MASS J12303469+3245349",187.6444,32.7597
"SDSS J123517.23+315815.6","2MASS J12351726+3158155",188.8219,31.9711
"NLTT 31450B","2MASS J12394920+3209056",189.955,32.1515
