"name","name_simbadable","raj2000","decj2000"
"2MASS J03283463+1129515","LSR J0328+1129",52.1443,11.4977
"PSO J052.2746+13.3754","2MASS J03290567+1322317",52.2736,13.3755
"WISE J033713.43+114824.5","2MASS J03371340+1148280",54.3058,11.8078
"PSO J054.3866+11.5361",,54.3865,11.5362
"1RXS J034231.8+121622 B",,55.6326,12.2729
"SDSS J035308.54+103056.0","2MASS J03530845+1030564",58.2853,10.5157
"2MASS J03552337+1133437","2MASS J03552337+1133437",58.8474,11.5622
"Hya05","2MASS J03584293+1039396",59.679,10.6609
