"name","name_simbadable","raj2000","decj2000"
"PSO J041.5426+01.9456","2MASS J02461021+0156447",41.5425,1.9458
"TVLM 831-161058","TVLM 831-161058",42.8052,0.7934
"TVLM 832-10443","TVLM 832-10443",43.1096,0.9396
"ULAS J025244.10+010617.9","BRLT 49",43.1838,1.1052
"PSO J043.5395+02.3995","2MASS J02540788+0223563",43.5319,2.3989
"SDSS J025601.86+011047.2","2MASS J02560189+0110467",44.0078,1.1797
"SDSSp J030136.53+002057.9","SDSS J030136.53+002057.6",45.4022,0.3494
"2MASS J03111547+0106307","[BHR2005] 832-2",47.8145,1.1086
"2MASS J03134443+0433165","2MASS J03134443+0433165",48.4352,4.5546
"ULAS J031451.72+045346.2","2MASS J03145171+0453455",48.7155,4.8961
