"name","name_simbadable","raj2000","decj2000"
"SDSS J020551.36-075925.0","2MASS J02055138-0759253",31.4641,-7.9903
"2MASS J02155892-0929121 C","RX J0215.9-0929C",33.9948,-9.4862
"2MASS J02185792-0617499","LP  649-93",34.7412,-6.2972
"CFBDS J022638.96-072831.8","CFBDS J022638-072831",36.663,-7.4744
"CFBDS J022644.65-062522.0","CFBDS J022644-062522",36.686,-6.4228
"DENIS J0230450-095305","2MASS J02304498-0953050",37.6875,-9.8848
"SDSS J023547.56-084919.8","2MASS J02354756-0849198",38.9482,-8.8222
"DENIS J023549.5-071121","SIPS J0235-0711",38.9566,-7.1892
