"name","name_simbadable","raj2000","decj2000"
"SDSS J020742.48+000056.2","2MASS J02074284+0000564",31.9285,0.0155
"2MASS J02151451+0453179","2MASS J02151451+0453179",33.8105,4.8883
"ULAS J021642.97+004005.6","SDSS J021642.98+004005.9",34.1792,0.6684
"ULAS J021750.35+035803.3","ULAS J021750.35+035803.3",34.4598,3.9673
"IfA 0230-Z1","ULAS J022637.55+005154.3",36.6561,0.8654
"SDSS J022754.95+002619.9","2MASS J02275495+0026201",36.9789,0.4389
"SDSSp J023617.93+004855.0","2MASS J02361794+0048548",39.0748,0.8152
