"name","name_simbadable","raj2000","decj2000"
"2MASS J02411151-0326587","2MASS J02411151-0326587",40.298,-3.4497
"ULAS J024703.40-010700.8","BRLT 48",41.7641,-1.1171
"TVLM 831-154910","TVLM 831-154910",42.5486,-1.8582
"2MASSI J0251148-035245","2MASS J02511490-0352459",42.8125,-3.88
"TVLM 831-165166","TVLM 832-7464",42.9278,-1.0349
"WISE J025934.00-034645.7","WISE J025934.00-034645.7",44.891,-3.7803
"TVLM 832-42500","TVLM 832-42500",45.6457,-1.2736
"SDSSp J030321.24-000938.2","2MASS J03032123-0009378",45.8385,-0.1606
"WISEA J030601.66-033059.0","2MASS J03060140-0330438",46.506,-3.5126
"2MASS J03144011-0450316","2MUCD 10172",48.6671,-4.8422
