"name","name_simbadable","raj2000","decj2000"
"SIMP J22484809-0126570","SIMP J2248480-012657",342.2005,-1.449
"ULAS J225114.89-000724.4","BRLT 318",342.8121,-0.1234
"2MASS J22545900-0330590","2MASS J22545900-0330590",343.7459,-3.5163
"SDSSp J225529.09-003433.4","2MASS J22552907-0034336",343.8712,-0.576
"SIMP J22572115-0140061","SIMP J2257211-014006",344.3383,-1.6685
"SDSS J225913.88-005158.2","2MASS J22591388-0051581",344.8079,-0.8662
"SDSS J230722.58-005746.6","SDSS J230722.58-005746.6",346.844,-0.9629
"ULAS J231835.51-001330.0","ULAS J231835.51-001330.0",349.6484,-0.2246
