"name","name_simbadable","raj2000","decj2000"
"ULAS J124639.33+032314.3","ULAS J124639.33+032314.3",191.6643,3.3874
"2MASS J12492272+0310255","2MASS J12492272+0310255",192.3448,3.1737
"SDSS J125044.68+041758.2","2MASS J12504467+0417581",192.6861,4.2995
"2MASS J12565688+0146163","2MASS J12565688+0146163",194.237,1.7712
"ULAS J125835.97+030736.1","ULAS J125835.97+030736.1",194.65,3.1251
"2MASS J13023897+0351410","2MASS J13023897+0351410",195.6624,3.8614
"ULAS J130303.54+001627.7","ULAS J130303.54+001627.7",195.7654,0.2742
"SIMP J13084263+0432441","2MASS J13084263+0432441",197.1778,4.5455
"WISEPC J131106.24+012252.4","WISEP J131106.24+012252.4",197.7752,1.3839
"ULAS J131610.13+031205.5","BRLT 203",199.0426,3.2016
"SIMP J13174922+0448149","2MASS J13174922+0448149",199.4552,4.8041
