"name","name_simbadable","raj2000","decj2000"
"ULAS J032042.15+061837.1","BRLT 57",50.1756,6.3103
"ULAS J032143.05+054524.3","BRLT 58",50.429,5.7571
"ULAS J032353.82+061352.3","BRLT 60",50.9742,6.2311
"ULAS J032524.61+051039.5","ULAS J032524.61+051039.5",51.3511,5.1774
"WISE J032547.72+083118.2","WISE J032547.72+083118.2",51.4485,8.5218
"ULAS J033005.72+055653.4","BRLT 62",52.524,5.9482
"ULAS J033027.97+053626.6","BRLT 63",52.6165,5.6075
"2MASS J03354535+0658058","2MASS J03354535+0658058",53.939,6.9683
"ULAS J033734.61+050026.9","BRLT 65",54.3942,5.0075
"SDSS J034652.97+092527.4","2MASS J03465296+0925273",56.7207,9.4243
"2MASS J03492367+0635078","2MASS J03492367+0635078",57.3486,6.5855
"WISEA J035733.85+070557.4","WISEA J035733.85+070557.4",59.3901,7.1005
