"name","name_simbadable","raj2000","decj2000"
"WISEA J232307.08+054113.0","WISEA J232307.08+054113.0",350.7801,5.6873
"ULAS J232315.39+071931.0","ULAS J232315.39+071931.0",350.8141,7.3253
"ULAS J232624.07+050931.6","ULAS J232624.07+050931.6",351.6008,5.1598
"SDSS J233526.42+081721.3","2MASS J23352640+0817214",353.86,8.2893
"LP 583-21","LP  583-21",354.6413,6.4144
"ULAS J233942.81+075327.2","BRLT 340",354.9283,7.8908
"ULAS J234228.97+085620.1","SDSS J234228.93+085620.1",355.62,8.939
"SIMP J23444256+0909020","2MASS J23444256+0909020",356.1773,9.1506
"ULAS J235618.01+075420.4","ULAS J235618.01+075420.5",359.0746,7.9062
