"name","name_simbadable","raj2000","decj2000"
"CWISE J080436.67-000028.6","WISE J080436.68-000025.9",121.153,-0.006
"2MASS J08194351-0450071","2MASS J08194351-0450071",124.9313,-4.8353
"WISEPA J081958.05-033529.0","2MASS J08195820-0335266",124.9924,-3.5908
"NLTT 19472","*   1 Hya C",126.2184,-3.6839
"2MASS J08254335-0029110","2MASS J08254335-0029110",126.4306,-0.4864
"ULAS J082707.67-020408.2","ULAS J082707.67-020408.2",126.7819,-2.0688
"2MASS J08293244-0238543","SIPS J0829-0238",127.3853,-2.6485
"2MASS J08294908-0012241","SIPS J0829-0012",127.4544,-0.2067
"2MASSW J0832045-012835","2MASSW J0832045-012835",128.0188,-1.4767
"LHS 2026","LP  605-23",128.127,-1.5774
"ULAS J083334.60-014454.7","BRLT 72",128.3942,-1.7485
"SDSSp J083717.22-000018.3","SDSS J083717.21-000018.0",129.3215,-0.0051
"ULAS J083756.19-004156.0","ULAS J083756.19-004156.0",129.4837,-0.6994
