"name","name_simbadable","raj2000","decj2000"
"SDSS J120543.42+605728.3","2MASS J12054348+6057284",181.431,60.9579
"SDSS J120610.49+624257.2","2MASS J12061050+6242572",181.5438,62.716
"SDSS J121210.98+605947.9","2MASS J12121097+6059477",183.0457,60.9966
"SDSS J121440.95+631643.4","2MASS J12144089+6316434",183.6706,63.2787
"WISEA J122042.20+620528.3","WISEA J122042.20+620528.3",185.1787,62.092
"GOODS-N i'-Drop 2","GOODS J123734.05+621553.4",189.3919,62.2648
"SDSS J123815.59+621925.9","2MASS J12381563+6219261",189.565,62.3239
