"name","name_simbadable","raj2000","decj2000"
"2MASS J08443811+2226161","2MASS J08443811+2226161",131.1588,22.4378
"UGCS J084510.66+214817.1","EPIC 251812062",131.2946,21.8049
"SDSS J085359.10+223335.8","2MASS J08535917+2233363",133.4965,22.56
"2MASSI J0856479+223518","2MASS J08564793+2235182",134.1996,22.5884
"SDSS J085805.47+221457.8","2MASS J08580549+2214582",134.5229,22.2495
"LP 368-128","LP  368-128",135.0981,21.8347
"CWISE J091105.02+214645.1","WISE J091105.05+214648.9",137.7715,21.7823
"SDSS J091130.53+224810.7","2MASS J09113059+2248111",137.8774,22.803
"2MASS J09161504+2139512","2MASS J09161504+2139512",139.0625,21.6642
"2MASSW J0918382+213406","2MASSW J0918382+213406",139.6592,21.5682
