"name","name_simbadable","raj2000","decj2000"
"ULAS J124052.92+112940.4","BRLT 186",190.2205,11.4944
"SDSS J124352.25+131021.3","2MASS J12435228+1310215",190.9678,13.1726
"ULAS J124413.03+123201.1","BRLT 190",191.0548,12.5339
"ULAS J124425.90+102441.9","2MASS J12442595+1024432",191.1082,10.412
"SDSS J124514.95+120442.0","2MASS J12451496+1204423",191.3123,12.0784
"SDSS J125214.08+142239.3","2MASS J12521412+1422398",193.0588,14.3776
"ULAS J125446.35+122215.7","ULAS J125446.35+122215.7",193.6928,12.371
"ULAS J125708.07+110850.4","ULAS J125708.07+110850.4",194.2846,11.1478
"2MASS J12594167+1001380","LSPM J1259+1001",194.9237,10.0274
"Ross 458C","ULAS J130041.74+122114.7",195.1755,12.3541
"ULAS J130217.21+130851.2","ULAS J130217.21+130851.2",195.5727,13.1476
"ULAS J130227.54+143428.0","ULAS J130227.54+143428.0",195.6151,14.5735
"ULAS J131307.47+123540.7","BRLT 202",198.2814,12.5952
"LSPM J1314+1320","LP  497-33",198.5848,13.3335
"ULAS J131943.77+120900.2","ULAS J131943.77+120900.2",199.9324,12.1519
