"name","name_simbadable","raj2000","decj2000"
"ULAS J224051.81+000822.0","BRLT 315",340.2159,0.1396
"WISEA J224128.33+043459.3","2MASS J22412824+0435039",340.3676,4.5845
"SDSSp J224953.45+004404.2","2MASS J22495345+0044046",342.4727,0.7346
"ULAS J225649.51+005452.5","ULAS J225649.51+005452.5",344.2062,0.9148
"2MASS J23004298+0200145","2MASS J23004298+0200145",345.1791,2.004
"WISE J230133.32+021635.0","2MASS J23013338+0216359",345.3891,2.2768
"ULAS J230358.64+005807.3","BRLT 322",345.9942,0.9686
"ULAS J231236.55+000602.3","BRLT 328",348.1522,0.1007
"ULAS J231536.93+034422.7","ULAS J231536.93+034422.7",348.9032,3.7389
"ULAS J231645.70+010012.5","BRLT 330",349.1905,1.0037
"ULAS J231856.24+043328.5","ULAS J231856.24+043328.5",349.7343,4.5578
