"name","name_simbadable","raj2000","decj2000"
"SDSS J120250.00+420452.2","2MASS J12025009+4204531",180.7086,42.0814
"SDSS J120815.92+405629.9","2MASS J12081602+4056301",182.0667,40.9417
"SDSS J120821.72+445224.6","2MASS J12082176+4452244",182.0907,44.8735
"PSO J183.4547+40.7901","PSO J183.4547+40.7901",183.4554,40.7904
"2MASS J12162161+4456340","2MASSI J1216216+445634",184.0901,44.9427
"SDSS J123112.97+405027.9","2MASS J12311299+4050277",187.8042,40.841
"2MASS J12352675+4124310","2MASS J12352675+4124310",188.8613,41.4087
