"name","name_simbadable","raj2000","decj2000"
"SDSS J084036.04+143424.3","2MASS J08403612+1434247",130.1504,14.5735
"SDSS J084333.28+102443.5","2MASS J08433323+1024470",130.8885,10.4131
"SDSS J084457.38+120825.4","SDSS J084457.38+120825.4",131.2391,12.1405
"2MASSW J0850359+105716","2MASS J08503593+1057156",132.6496,10.9544
"SIMP J08511977+1043470","2MASS J08511977+1043470",132.8322,10.7298
"SDSS J085602.05+124014.3","2MASS J08560211+1240150",134.0087,12.6708
"ULAS J085910.69+101017.1","ULAS J085910.69+101017.1",134.7955,10.1724
"2MASS J08594029+1145325","2MASS J08594029+1145325",134.9179,11.759
"ULAS J090521.61+100654.9","PSO J136.3401+10.1151",136.3401,10.1156
"2MASS J09053247+1339138","2MASS J09053247+1339138",136.3852,13.6538
"SDSS J090757.81+143642.9","2MASS J09075781+1436424",136.991,14.6118
"SDSS J091136.57+143244.4","SDSS J091136.57+143244.4",137.9024,14.5458
"Gl 337CD","* pi.01 Cnc C",138.0608,14.9946
"SDSS J091414.38+105719.5","2MASS J09141439+1057195",138.56,10.9554
"SDSS J091656.32+105740.0","SDSS J091656.32+105740.0",139.2347,10.9612
