"name","name_simbadable","raj2000","decj2000"
"SDSS J164230.27+202048.1","2MASS J16423030+2020482",250.6262,20.3467
"SDSS J165309.93+245039.8","2MASS J16530991+2450393",253.2913,24.8444
"2MASS J17111353+2326333","2MASSI J1711135+232633",257.8063,23.4426
"2MASSI J1711457+223204","2MASSI J1711457+223204",257.9405,22.5345
"SDSS J171147.17+233130.5","2MASS J17114716+2331310",257.9465,23.5252
"WISEA J171331.68+245000.9","WISEA J171331.68+245000.9",258.383,24.8329
"2MASS J17164469+2302220","2MASS J17164469+2302220",259.1864,23.0395
