"name","name_simbadable","raj2000","decj2000"
"2MASS J03250136+2253039","2MASSI J0325013+225303",51.2559,22.8843
"2MASSI J0328426+230205","2MASSI J0328426+230205",52.1776,23.0348
"2MASS J03300506+2405281","LP  356-770",52.5212,24.0911
"2MASSI J0335020+234235","2MASSW J0335020+234235",53.7587,23.7098
"2MASP J0339527+245728","LSPM J0339+2457",54.97,24.9576
"Cl* Melotte 22 IPMBD 25","Cl* Melotte   22  IPMBD      25",56.6087,24.086
"Cl* Melotte 22 PPL 15","Cl* Melotte   22    PPL      15",57.0194,23.6584
"Roque 25","Cl* Melotte   22  ROQUE      25",57.1279,22.7474
"PLIZ 35","Cl* Melotte   22   PLIZ      35",58.1632,24.7747
"Hya02","2MASS J03524627+2112332",58.1929,21.2092
"Cl* Melotte 22 CFHT 18","Cl* Melotte   22    BPL     283",58.3464,23.3225
"Cl* Melotte 22 CFHT 12","Cl* Melotte   22   PLIZ       6",58.4796,23.3934
"2MASS J03540135+2316339","LSPM J0354+2316",58.5058,23.2761
"BRB 29","Cl* Melotte   22    BRB      29",58.5059,23.8328
"BRB 17","Cl* Melotte   22    BRB      17",58.5332,23.9078
"BRB 21","Cl* Melotte   22    BRB      21",58.5426,23.6943
"PLIZ 28","Cl* Melotte   22   PLIZ      28",58.5587,23.2979
"2MASSW J0355419+225702","2MASS J03554191+2257016",58.9247,22.9505
