"name","name_simbadable","raj2000","decj2000"
"WISEA J000131.93-084126.9","2MASS J00013166-0841234",0.382,-8.69
"LP 704-48","LP  704-48",1.6977,-8.8765
"SDSS J000649.16-085246.3","2MASS J00064916-0852457",1.7048,-8.8795
"2MASS J00100480-0930519","2MASS J00100480-0930519",2.5201,-9.5145
"HD 984 B","HD    984b",3.5427,-7.1991
"WISEA J001450.17-083823.4","2MASS J00144919-0838207",3.7046,-8.639
"WISEU J001908.31-094323.3","WISEU J001908.31-094323.3",4.7848,-9.7233
"PSO J005.6302-06.8669","PSO J005.6302-06.8669",5.6307,-6.8671
"LHS 1074","LP  645-78",6.4634,-7.8022
"SDSS J002611.45-094341.1","2MASS J00261147-0943406",6.5477,-9.728
"SIMP J00265329-0936267","2MASS J00265329-0936267",6.722,-9.6075
"2MASSI J0034568-070601","2MASS J00345684-0706013",8.7369,-7.1004
