"name","name_simbadable","raj2000","decj2000"
"2MASS J12453705+4028456","2MASS J12453705+4028456",191.4045,40.4793
"2MASSW J1246467+402715","2MASSW J1246467+402715",191.6949,40.4542
"SDSS J124908.66+415728.6","2MASS J12490872+4157286",192.2864,41.958
"SDSS J125045.66+441853.7","2MASS J12504567+4418551",192.6902,44.3152
"2MASS J12531240+4034038","LP  218-8",193.3018,40.5674
"WISE J125715.90+400854.2","WISE J125715.90+400854.2",194.315,40.148
"2MASS J12583501+4013083","2MASS J12583501+4013083",194.6459,40.2189
"2MASS J12583798+4014017","2MASS J12583798+4014017",194.6583,40.2338
"HIP 63506C","2MASS J13005061+4214473",195.2108,42.2464
"SDSS J131835.71+423950.8","SDSS J131835.71+423950.8",199.6488,42.6641
