"name","name_simbadable","raj2000","decj2000"
"SDSS J160140.86+215945.4","2MASS J16014087+2159449",240.4203,21.9959
"HIP 78916B","2MASS J16063229+2253337",241.6345,22.8927
"2MASS J16091143+2116584","2MASS J16091143+2116584",242.2977,21.2829
"ULAS J161436.96+244230.1","ULAS J161436.96+244230.1",243.6545,24.7084
"SDSS J161626.46+221859.2","2MASS J16162649+2218591",244.1104,22.3165
"ULAS J161710.39+235031.4","ULAS J161710.39+235031.4",244.2936,23.8419
"SDSS J161840.27+202045.6","2MASS J16184026+2020456",244.6678,20.346
"ULAS J161934.78+235829.3","ULAS J161934.78+235829.3",244.8957,23.9744
"SDSS J162603.03+211313.0","2MASS J16260302+2113132",246.5126,21.2204
"SDSS J162643.31+230611.7","SDSS J162643.31+230611.7",246.6805,23.1032
"SDSS J162834.35+242847.2","2MASS J16283435+2428476",247.1431,24.4799
"SDSS J162838.77+230821.1","2MASS J16283855+2308241",247.1612,23.1395
"SDSS J163142.02+243359.7","2MASS J16314206+2433598",247.9253,24.5666
"SDSS J163437.19+233620.5","SDSS J163437.19+233620.5",248.6549,23.6059
"2MASS J16360752+2336011","2MASS J16360752+2336011",249.0314,23.6003
