"name","name_simbadable","raj2000","decj2000"
"SIMP J16133450-0747057","2MASS J16133450-0747057",243.3936,-7.785
"WISEPA J162208.94-095934.6","WISE J162208.93-095934.4",245.5371,-9.993
"WISE J162359.70-050811.4","2MASS J16235981-0508066",245.9992,-5.1353
"CWISE J163041.79-064338.3","CWISE J163041.79-064338.3",247.6731,-6.725
"SIPS J1632-0631","SIPS J1632-0631",248.2451,-6.5301
"SDSS J163359.23-064056.5","2MASS J16335933-0640552",248.4972,-6.6821
"WISE J163645.56-074325.1","WISE J163645.56-074325.1",249.1902,-7.7234
