"name","name_simbadable","raj2000","decj2000"
"2MASS J22400144+0532162","LSPM J2240+0532",340.006,5.5378
"ULAS J224922.85+071527.9","BRLT 316",342.3454,7.2579
"ULAS J225016.39+080822.4","2MASS J22501628+0808245",342.5678,8.1402
"ULAS J225540.22+061412.9","ULAS J225540.22+061412.9",343.9173,6.2364
"ULAS J225624.82+062152.9","BRLT 319",344.1033,6.365
"ULAS J225630.91+072439.0","BRLT 320",344.1286,7.411
"ULAS J230049.08+070338.0","ULAS J230049.08+070338.0",345.2048,7.0609
"PSO J345.2949+07.7665","2MASS J23011072+0746002",345.2946,7.7667
"ULAS J230203.04+070038.8","BRLT 321",345.5123,7.0104
"SIMP J23042585+0749010","2MASS J23042585+0749010",346.1077,7.817
"ULAS J230434.41+080401.4","BRLT 325",346.1434,8.0674
"2MASS J23053808+0524070","2MASS J23053808+0524070",346.4087,5.402
"WISEA J230743.63+052037.3","WISEA J230743.63+052037.3",346.9322,5.344
"PSO J348.8808+06.2873","2MASS J23153135+0617146",348.8807,6.2874
