"name","name_simbadable","raj2000","decj2000"
"SDSS J124036.81+152517.1","2MASS J12403680+1525172",190.1534,15.4215
"SDSS J125108.28+155911.1","2MASS J12510829+1559112",192.7846,15.9864
"SDSS J125230.79+183506.0","2MASS J12523083+1835063",193.1284,18.585
"SDSS J125550.62+170059.7","2MASS J12555058+1701006",193.9608,17.0167
"SDSS J125645.82+151443.7","2MASS J12564581+1514435",194.1909,15.2455
"2MASSW J1300425+191235","2MASSI J1300425+191235",195.1771,19.2096
"SDSS J130317.69+181522.0","2MASS J13031775+1815219",195.8239,18.2561
"ULAS J130435.66+154252.6","BRLT 197",196.1487,15.7145
"HD 114762B","HD 114762B",198.0827,17.5179
"SDSS J131748.68+183644.1","2MASS J13174875+1836447",199.4532,18.6124
"2MASS J13184794+1736117","2MASS J13184794+1736117",199.6998,17.6032
