"name","name_simbadable","raj2000","decj2000"
"SDSS J152103.24+013142.7","2MASS J15210327+0131426",230.2635,1.5285
"CFBDS J152655.80+034536.2","CFBDS J152655+034536",231.733,3.7596
"ULAS J153156.73+033605.9","BRLT 296",232.9864,3.6017
"2MASS J15341068+0426410","2MASS J15341068+0426410",233.5445,4.4447
"ULAS J153608.64+030556.5","ULAS J153608.64+030556.5",234.0362,3.0997
"ULAS J153653.80+015540.6","ULAS J153653.80+015540.6",234.2244,1.9274
"SDSS J154501.09+033714.3","2MASS J15450107+0337140",236.2545,3.6206
"ULAS J154701.84+005320.3","ULAS J154701.84+005320.3",236.7576,0.8893
"SDSS J154727.23+033636.3","2MASS J15472723+0336361",236.8635,3.6101
"SDSS J155526.15+001720.6","2MASS J15552614+0017204",238.8589,0.289
