"name","name_simbadable","raj2000","decj2000"
"2MASS J23211254-1326282","2MASS J23211254-1326282",350.3024,-13.4412
"WISEA J232219.45-140726.2","2MASS J23221914-1407238",350.5799,-14.1233
"PSO J351.3434-11.3514","SIPS J2325-1121",351.3429,-11.351
"SDSS J232804.58-103845.7","2MASS J23280459-1038452",352.0191,-10.6459
"SIMP J23324336-1249383","SIMP J2332433-124938",353.1809,-12.8275
"WISEPC J234841.10-102844.4","WISEA J234841.11-102844.1",357.1694,-10.4794
"2MASS J23520507-1100435","2MASS J23520507-1100435",358.0211,-11.0122
