"name","name_simbadable","raj2000","decj2000"
"ULAS J000010.43+113602.2","ULAS J000010.43+113602.2",0.0432,11.602
"ULAS J000509.42+101407.7","ULAS J000509.42+101407.7",1.2895,10.2355
"2MASS J00062250+1300451","2MASS J00062250+1300451",1.5937,13.0125
"SDSS J000632.60+140606.3","2MASS J00063258+1406064",1.6358,14.1018
"2MASS J00133470+1109403","2MASS J00133470+1109403",3.3946,11.1612
"ULAS J002406.37+134705.3","ULAS J002406.37+134705.3",6.027,13.7849
"ULAS J002707.24+142349.0","BRLT 7",6.7801,14.3969
"ULAS J002827.56+142349.1","BRLT 8",7.1146,14.3973
"ULAS J002912.25+145604.9","BRLT 9",7.3011,14.9347
"SDSSp J003259.36+141036.6","2MASS J00325937+1410371",8.2473,14.1769
"SDSS J003524.44+144739.8","SDSS J003524.44+144739.8",8.8518,14.7944
"SDSS J003843.99+134339.5","2MASS J00384398+1343395",9.6833,13.7276
