"name","name_simbadable","raj2000","decj2000"
"SDSS J084001.62+451752.4","2MASS J08400161+4517522",130.0068,45.2979
"SDSS J084135.31+455442.0","SDSS J084135.31+455442.0",130.3975,45.9117
"SDSS J085234.90+472035.0","2MASS J08523490+4720359",133.1454,47.3431
"WISEPA J090649.36+473538.6","WISE J090649.35+473538.5",136.7083,47.5961
"SDSS J090737.68+450935.7","2MASS J09073765+4509359",136.9069,45.1599
"SDSS J091215.18+453447.7","SDSS J091215.18+453447.7",138.0632,45.5799
"SDSS J091655.37+465349.6","SDSS J091655.37+465349.6",139.2307,46.8971
"SDSS J091816.02+481300.4","2MASS J09181601+4813004",139.5667,48.2168
"SDSS J091934.26+493957.2","SDSS J091934.26+493957.2",139.8928,49.6659
