"name","name_simbadable","raj2000","decj2000"
"SDSSp J120358.19+001550.3","2MASS J12035812+0015500",180.9922,0.2639
"SDSS J120747.17+024424.8","2MASS J12074717+0244249",181.9466,2.7403
"SDSS J120831.49+014924.7","2MASS J12083152+0149248",182.1313,1.8235
"ULAS J120948.38+035338.4","ULAS J120948.38+035338.4",182.4517,3.8939
"SDSS J121001.96+030739.2","SDSS J121001.96+030739.5",182.5082,3.1276
"SIMP J12113013+0406096","2MASS J12113013+0406096",182.8756,4.1027
"2MASS J12123389+0206280","2MASS J12123389+0206280",183.1412,2.1078
"ULAS J121238.72+000721.9","2MASS J12123874+0007218",183.1614,0.1227
"ULAS J121508.37+040200.5","SDSS J121508.36+040200.5",183.7848,4.0336
"2MASS J12155348+0050498","2MASS J12155348+0050498",183.9729,0.8472
"2MASS J12172935+0035326","2MASS J12172935+0035326",184.3723,0.5924
"ULAS J121932.54+015433.0","2MASS J12193255+0154330",184.8856,1.9092
"2MASS J12212770+0257198","2MASS J12212770+0257198",185.3655,2.9555
"ULAS J122325.69+044827.6","2MASS J12232570+0448277",185.8571,4.8077
"SDSS J122711.07+021349.1","2MASS J12271106+0213488",186.7961,2.2302
"SDSS J122855.38+005044.1","2MASS J12285538+0050440",187.2308,0.8455
"SDSS J123200.85+022344.1","2MASS J12320085+0223441",188.0036,2.3956
"ULAS J123433.51+010742.0","BRLT 181",188.6394,1.1283
