"name","name_simbadable","raj2000","decj2000"
"ULAS J100310.96+075220.3","BRLT 119",150.7956,7.8726
"SDSS J101304.34+071050.7","2MASS J10130436+0710504",153.2681,7.1807
"SDSS J101517.63+075212.0","2MASS J10151763+0752121",153.8235,7.87
"ULAS J101821.78+072547.1","ULAS J101821.78+072547.1",154.5914,7.4298
"G 44-9","G  44-9",155.1836,8.2398
"ULAS J102144.87+054446.1","ULAS J102144.87+054446.1",155.4368,5.7459
"ULAS J102940.52+093514.6","ULAS J102940.52+093514.6",157.4201,9.5877
"2MASS J10321706+0501032","2MASS J10321706+0501032",158.0711,5.0175
"PSO J158.1597+05.2231","PSO J158.1597+05.2231",158.1603,5.2234
