"name","name_simbadable","raj2000","decj2000"
"2MASS J20025073-0521524","2MASSI J2002507-052152",300.7113,-5.3646
"WISE J200804.71-083428.5","2MASS J20080450-0834266",302.0188,-8.5742
"PSO J304.7573-07.2350","2MASS J20190178-0714067",304.7572,-7.2351
"PSO J306.0928-06.6429","2MASS J20242222-0638319",306.0926,-6.6422
"PSO J307.7981-06.6854",,307.798,-6.6852
"PSO J308.9834-09.7312","PSO J308.9834-09.7312",308.9834,-9.7313
"WISEA J203644.55-084715.1","WISE J203644.55-084715.1",309.1845,-8.7872
"CWISEP J203821.53-064930.9","CWISEP J203821.53-064930.9",309.5903,-6.8245
