"name","name_simbadable","raj2000","decj2000"
"2MASS J00045753-1709369","2MASS J00045753-1709369",1.2398,-17.1603
"2MASSI J0006205-172051","2MASS J00062050-1720506",1.5854,-17.3475
"WISEPC J000849.76-173922.6","WISE J000849.75-173922.9",2.2078,-17.6552
"2MASS J00135882-1816462","2MASS J00135882-1816462",3.4953,-18.2797
"WISEA J002050.25-151913.1","WISEA J002050.25-151913.1",5.2089,-15.3203
"2MASS J00285545-1927165","2MASS J00285545-1927165",7.231,-19.4546
"2MASS J00332386-1521309","2MASS J00332386-1521309",8.3495,-15.3586
