"name","name_simbadable","raj2000","decj2000"
"2MASSI J1332286+263508","2MASSI J1332286+263508",203.1191,26.5855
"SDSS J133348.24+273508.8","2MASS J13334822+2735115",203.451,27.5858
"LSPM J1336+2541B","2MASS J13362502+2540368",204.1043,25.6769
"WISE J133750.46+263648.6","2MASS J13375038+2636512",204.4597,26.6142
"ULAS J134646.71+282009.2","ULAS J134646.71+282009.2",206.6957,28.3356
"PSO J207.7496+29.4240","2MASS J13510003+2925273",207.75,29.4243
"ULAS J135322.83+283408.2","ULAS J135322.83+283408.2",208.3448,28.5684
