"name","name_simbadable","raj2000","decj2000"
"WISE J144806.48-253420.3","WISE J144806.48-253420.3",222.0269,-25.57
"SIMP J14534687-2744275","SIMP J1453468-274427",223.4452,-27.741
"2MASSI J1456014-274735","LEHPM 2-50",224.0058,-27.7935
"LHS 3003","LP  914-54",224.1594,-28.1635
"PSO J226.2599-28.8959","2MASS J15050230-2853408",226.2596,-28.8947
"2MASS J15104761-2818234","2MASS J15104761-2818234",227.6983,-28.3065
"2MASS J15104786-2818174","2MASS J15104786-2818174",227.6994,-28.3049
"PSO J228.6775-29.7088","2MASS J15144258-2942315",228.6774,-29.7088
"PSO J229.2354-26.6737","2MASS J15165651-2640251",229.2355,-26.6737
