"name","name_simbadable","raj2000","decj2000"
"ULAS J232122.72-004557.3","BRLT 331",350.3442,-0.7659
"CFBDS J232304.41-015232.3","CFBDS J232304-015232",350.7683,-1.8758
"2MASS J23231347-0244360","2MASS J23231347-0244360",350.8062,-2.7433
"CFBDS J232449.19-045736.5","CFBDS J232449-045736",351.2045,-4.9587
"2MASS J23255604-0259508","2MASS J23255604-0259508",351.4836,-2.9975
"CFBDS J232620.21-025643.7","CFBDS J232620-025643",351.5841,-2.945
"2MASS J23302258-0347189","SIPS J2330-0347",352.5942,-3.7886
"2MASSI J2331016-040619","2MASSW J2331016-040618",352.7568,-4.1054
"HD 221356D","** GZA    1B",352.879,-4.09
"SDSS J233558.51-001304.1","2MASS J23355852-0013040",353.9938,-0.2178
"SDSS J234034.42-001351.6","2MASS J23403443-0013511",355.1435,-0.2309
"ULAS J234716.99-011009.1","ULAS J234716.98-011009.1",356.821,-1.1693
"SDSS J234759.77-001546.9","2MASS J23475977-0015469",356.999,-0.263
"SDSS J234841.38-004022.1","SDSS J234841.38-004022.2",357.1724,-0.6727
"SDSS J235835.45-000909.5","SDSS J235835.45-000909.5",359.6478,-0.1526
"PSO J359.8867-01.8651","2MASS J23593281-0151526",359.8868,-1.8647
