"name","name_simbadable","raj2000","decj2000"
"2MASS J08034469+0827000","LP  544-17",120.9362,8.45
"ULAS J081948.09+073323.3","ULAS J081948.09+073323.3",124.9501,7.5573
"ULAS J082428.08+055742.5","BRLT 69",126.117,5.9618
"LHS 2021","LP  485-17",127.6357,9.7876
"SDSS J083424.12+071916.2","2MASS J08342418+0719161",128.6008,7.3212
"HD 72946 B","HD 72946b",128.9636,6.6228
"2MASS J08355829+0548308","ULAS2MASS J0835+0548",128.9929,5.8086
"SDSS J083646.35+052642.6","2MASS J08364635+0526426",129.1932,5.4452
"SDSS J083724.78+081603.9","2MASS J08372479+0816040",129.3533,8.2678
"ULAS J083842.51+081700.5","BRLT 73",129.6771,8.2835
