"name","name_simbadable","raj2000","decj2000"
"SDSS J092026.43+265157.7","2MASS J09202645+2651583",140.1102,26.8662
"SDSS J092532.11+283550.9","2MASS J09253211+2835510",141.3838,28.5974
"SDSS J093113.23+280227.1","2MASS J09311309+2802289",142.8047,28.0412
"SDSS J093328.00+265448.4","2MASS J09332805+2654495",143.3668,26.9137
"SDSS J093706.72+284705.6","2MASS J09370672+2847056",144.278,28.7849
"2MASSI J0937347+293142","2MASSI J0937347+293142",144.3952,29.5282
"SDSS J093824.88+290328.9","2MASS J09382489+2903292",144.6037,29.0582
"SDSS J094047.88+294653.0","2MASS J09404793+2946534",145.1996,29.7815
"SDSS J094903.15+264944.2","2MASS J09490311+2649442",147.263,26.829
