"name","name_simbadable","raj2000","decj2000"
"2MASSI J0409095+210439","2MASSI J0409095+210439",62.2897,21.0775
"WISEA J041743.13+241506.3","2MASS J04174276+2415124",64.4289,24.2527
"2MASS J04183483+2131275","2MASS J04183483+2131275",64.6452,21.5242
"CWISE J041953.55+203628.0","CWISE J041953.55+203628.0",64.9727,20.6082
"Hya01","2MASS J04202441+2356134",65.1018,23.937
"2MASS J04203904+2355502","2MASS J04203904+2355502",65.1626,23.9306
"MHO 8","2MASS J04330197+2421000",68.2582,24.35
"WISEA J043535.82+211508.9","2MASS J04353511+2115201",68.8966,21.2553
"2MASS J04373705+2331080","2MASS J04373705+2331080",69.4044,23.5188
"LkCa 15 b","EM* LkCa   15b",69.8241,22.3509
"CWISE J043941.41+202514.8","CWISE J043941.41+202514.8",69.9221,20.4209
